"customerid","count","quarter","referred_a_friend","number_of_referrals","tenure_in_months","offer","phone_service","avg_monthly_long_distance_charges","multiple_lines","internet_service","internet_type","avg_monthly_gb_download","online_security","online_backup","device_protection_plan","premium_tech_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","satisfaction_score","customer_status","churn_label","churn_value","churn_score","cltv","churn_category","churn_reason","country","state","city","zip_code","lat_long","latitude","longitude","gender","age","under_30","senior_citizen","married","dependents","number_of_dependents","population"
"8779-QRDMV",1,"Q3","No",0,1,"None","No","0.00","No","Yes","DSL",8,"No","No","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal","39.65","39.65","0.00","20.00","0.00","59.65",3,"Churned","Yes",1,91,5433,"Competitor","Competitor offered more data","United States","California","Los Angeles","90022","34.02381, -118.156582","34.02381000","-118.15658200","Male",78,"No","Yes","No","No",0,68701
"7495-OOKFY",1,"Q3","Yes",1,8,"Offer E","Yes","48.85","Yes","Yes","Fiber Optic",17,"No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","80.65","633.30","0.00","0.00","390.80","1024.10",3,"Churned","Yes",1,69,5302,"Competitor","Competitor made better offer","United States","California","Los Angeles","90063","34.044271, -118.185237","34.04427100","-118.18523700","Female",74,"No","Yes","Yes","Yes",1,55668
"1658-BYGOY",1,"Q3","No",0,18,"Offer D","Yes","11.33","Yes","Yes","Fiber Optic",52,"No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","95.45","1752.55","45.61","0.00","203.94","1910.88",2,"Churned","Yes",1,81,3179,"Competitor","Competitor made better offer","United States","California","Los Angeles","90065","34.108833, -118.229715","34.10883300","-118.22971500","Male",71,"No","Yes","No","Yes",3,47534
"4598-XLKNJ",1,"Q3","Yes",1,25,"Offer C","Yes","19.76","No","Yes","Fiber Optic",12,"No","Yes","Yes","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","98.50","2514.50","13.43","0.00","494.00","2995.07",2,"Churned","Yes",1,88,5337,"Dissatisfaction","Limited range of services","United States","California","Inglewood","90303","33.936291, -118.332639","33.93629100","-118.33263900","Female",78,"No","Yes","Yes","Yes",1,27778
"4846-WHAFZ",1,"Q3","Yes",1,37,"Offer C","Yes","6.33","Yes","Yes","Fiber Optic",14,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","76.50","2868.15","0.00","0.00","234.21","3102.36",2,"Churned","Yes",1,67,2793,"Price","Extra data charges","United States","California","Whittier","90602","33.972119, -118.020188","33.97211900","-118.02018800","Female",80,"No","Yes","Yes","Yes",1,26265
"4412-YLTKF",1,"Q3","No",0,27,"Offer C","Yes","3.33","Yes","Yes","Fiber Optic",18,"No","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","78.05","2135.50","0.00","10.00","89.91","2235.41",1,"Churned","Yes",1,95,4638,"Competitor","Competitor had better devices","United States","California","Pico Rivera","90660","33.989524, -118.089299","33.98952400","-118.08929900","Female",72,"No","Yes","No","Yes",1,63288
"0390-DCFDQ",1,"Q3","Yes",1,1,"Offer E","Yes","15.28","No","Yes","Fiber Optic",30,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","70.45","70.45","0.00","0.00","15.28","85.73",2,"Churned","Yes",1,76,3964,"Other","Don't know","United States","California","Los Alamitos","90720","33.79499, -118.065591","33.79499000","-118.06559100","Female",76,"No","Yes","Yes","Yes",2,21343
"3445-HXXGF",1,"Q3","Yes",6,58,"Offer B","No","0.00","No","Yes","DSL",24,"No","Yes","Yes","No","No","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","45.30","2651.20","40.95","0.00","0.00","2610.25",1,"Churned","Yes",1,91,5444,"Dissatisfaction","Service dissatisfaction","United States","California","Sierra Madre","91024","34.168686, -118.057505","34.16868600","-118.05750500","Male",66,"No","Yes","Yes","No",0,10558
"2656-FMOKZ",1,"Q3","No",0,15,"Offer D","Yes","44.07","Yes","Yes","Fiber Optic",19,"No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","74.45","1145.70","0.00","0.00","661.05","1806.75",2,"Churned","Yes",1,91,5717,"Dissatisfaction","Limited range of services","United States","California","Pasadena","91106","34.139402, -118.128658","34.13940200","-118.12865800","Female",70,"No","Yes","No","Yes",2,23742
"2070-FNEXE",1,"Q3","No",0,7,"Offer E","Yes","26.95","No","Yes","Fiber Optic",18,"Yes","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","76.45","503.60","11.05","0.00","188.65","681.20",2,"Churned","Yes",1,81,4419,"Price","Lack of affordable download/upload speed","United States","California","Pasadena","91107","34.159007, -118.087353","34.15900700","-118.08735300","Female",77,"No","Yes","No","Yes",2,32369
